106,Toyuq şiş,https://acqalma.az/uploads/tmp/images/05bc1ed1/ae5e65ed/e08a7e4b/7eeb8981/151/201/r/Toyuqshish.jpg, 4.50 M ,Adana Lahmacun (Yasamal)
107,Pomidor kababı,https://acqalma.az/uploads/tmp/images/f47f6c6b/20f1116c/d4ab3bd4/453b0b25/151/201/r/Pomidorkabab.jpg, 4.00 M ,Adana Lahmacun (Yasamal)
108,Çöp şiş (toyuq),https://acqalma.az/uploads/tmp/images/7889e0d8/3d5b3cd1/2bef8de9/1276afc5/151/201/r/Toyuqkabab.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
109,Antrikot,https://acqalma.az/uploads/tmp/images/ad62bb69/90cf24ab/5077175f/0b3804bc/151/201/r/PirzolaAntrikot.jpg, 6.50 M ,Adana Lahmacun (Yasamal)
110,Qarışıq kabab,https://acqalma.az/uploads/tmp/images/277a96de/df53f98a/f79cb4a3/605050d2/151/201/r/Qarisiqkabab.jpg, 7.00 M ,Adana Lahmacun (Yasamal)
111,Toyuq Kababı,https://acqalma.az/uploads/tmp/images/1c8113f3/c6daa925/8884e0ab/b526c5a6/151/201/r/_AZpressAZ_toyuq_kababi_rec.jpg, 4.00 M ,Adana Lahmacun (Yasamal)
112,Spagetti,https://acqalma.az/uploads/tmp/images/c2610938/4ddbc901/80d4aa3e/150cc303/151/201/r/111.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
113,Kartof free,https://acqalma.az/uploads/tmp/images/0bc628b0/9e26e39c/519fe4a6/2cf3568a/151/201/r/french-fries-recipe-1-1.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
114,Düyü,https://acqalma.az/uploads/tmp/images/478f3fc7/58761a0e/f34881b3/c47c935c/151/201/r/1289782803_rice430x300a.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
115,Qarabaşaq,https://acqalma.az/uploads/tmp/images/cdc862e9/7d4ecf6c/60209fe8/a85a0988/151/201/r/qrecka.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
116,Dönər İskəndər,https://acqalma.az/uploads/tmp/images/9990cd86/c5b0922c/4b4596ca/08d1b3a2/151/201/r/iskenderdoner12.jpg, 6.00 M ,Adana Lahmacun (Yasamal)
117,Toyuq dönəri,https://acqalma.az/uploads/tmp/images/ee8eecbf/fbacd19c/0c967374/9e0abbb1/151/201/r/doner25.jpg, 1.80 M ,Adana Lahmacun (Yasamal)
118,Ət dönəri,https://acqalma.az/uploads/tmp/images/de79ff01/28758c9a/4a9ac827/dbffa2b6/151/201/r/17498410_836519399829379_8591076674865061439_n-684x463.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
119,Dönər Basdırma,https://acqalma.az/uploads/tmp/images/b946886d/a894fa07/95748236/d210c43f/151/201/r/absdirma.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
120,Şaurma,https://acqalma.az/uploads/tmp/images/83f125ff/bdfe496e/1ac205f5/86d4031b/151/201/r/shaurma.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
121,Tombik,https://acqalma.az/uploads/tmp/images/0e766a69/0d53990a/96dcf60b/b95a2bc6/151/201/r/TombikDoner1.jpg, 3.00 M ,Adana Lahmacun (Yasamal)
122,Dönər Porsion,https://acqalma.az/uploads/tmp/images/daede119/a64ada6e/9d2974f8/6cf45141/151/201/r/porsiyondoner.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
