,rest,food_type,name,desc,price,img
19,Meatadore,QARNİRLƏR,Alma Dilim Kartof,,"2,80₼",https://wolt-menu-images-cdn.wolt.com/menu-images/ebe7832c-1bf2-11ea-bb5c-0a58646afe16_IMG_9064.jpeg
20,Meatadore,SOUSLAR,Mayonez,,"0,25₼",
21,Meatadore,SALATLAR,Portağalı İspanaq Salatı,,"6,00₼",
22,Meatadore,PİVƏLƏR,Xırdalan 500 ml,,"3,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/e3473b64-1bd3-11ea-8557-0a586465c82e_Xirdalan_330ml.jpeg
23,Meatadore,ALKOQOLSUZ İÇKİLƏR,Ice Tea,,"2,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/4663763c-1bf1-11ea-923b-0a586468f492_Ayran_Aten_230ml.jpeg
24,Namlı Kebap,Wolt Specials,"İkili Lahmacun Menu (Acılı, acısız)","Lahmacun qiyməsi, soğan, cəfəri, kahı, pomidor, limon +1 ədəd sərinləşdirici içki
","8,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/fd2dc2e4-ed1c-11ea-bf81-eeb5bd18087f_lahmacun___ichki.jpeg
25,Namlı Kebap,ŞORBALAR,İşgəmbə Şorbası,,"5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/0edcca08-daee-11ea-b3b5-02c139339d10_is_kembe_c_orba_1.jpeg
26,Namlı Kebap,MƏZƏLƏR,Şakşuka Qatıq Souslu,,"6,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/76b3f14a-daf5-11ea-a5ec-7e13a52ad24c_s_aks_uka.jpeg
27,Namlı Kebap,İSTİ QƏLYANALTILAR,Fındıq Lahmacun,"Dana ve quzu qiyməsi, pomidor, cəfəri, soğan, limon","2,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/f2dd75ec-daf6-11ea-aaf1-1a2f8378f118_f_nd_k_lahmacun_1.jpeg
28,Namlı Kebap,SALATLAR,Kapriz Salatı,"Pendir, kahı, roka, cəfəri, reyhan, təzə nanə,  pomidor, xiyar, kök, soğan, bibər, kələm, zeytun yağı və limon suyu","7,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/32c8b25a-daf9-11ea-bef4-82ad300d433b_sezar_salata_tavuklu_...jpeg
29,Namlı Kebap,DÖNƏRLƏR,Lavaş Dönər,"Lavaş, 100 q ət, göyərti, kartof qızartması","8,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/b585bab6-dafa-11ea-8a27-3e6339f0dd5c_do_ner_du_ru_m..jpeg
30,Namlı Kebap,LAHMACUNLAR,Kaşar Pendirli Lahmacun,"Dana və quzu qiyməsi, kaşar pendiri, pomidor,  cəfəri, soğan","6,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/5d54f1ee-dafb-11ea-97b1-826c824a2093_kas_arl__lahmacun....jpeg
31,Namlı Kebap,PİDELƏR,Qarışıq Pide,"Kiçik hissələrə bölünmüş dana filesi, dana və quzu qiyməsi, bibər, soğan, pomidor, kaşar pendiri, sucuq, yumurta, kərə yağı","15,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/f3b2a7de-dafc-11ea-99b7-827e57abefd7_kar_s__k_pide.jpeg
32,Namlı Kebap,KÖFTƏLƏR,İnegöl Köftə,"180 q dana və quzu qiyməsi, çörək, soğan, kaşar pendiri, közdə bişmiş pomidor və bibər, düyü plovu, kartof qızartması","15,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/2152fc6e-db18-11ea-872f-1a5413f6cedf_inego_l_ko_fte.jpeg
33,Namlı Kebap,KABABLAR,Harran Kababı,"200 q dana və quzu qiyməsi, acı pul bibər, 30 q basdırma, kaşar pendiri, süzmə qatıq ballı və fıstıqlı, kartof qızartması, közdə bişirilmiş pomidor və bibər, pomidor sousu","18,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/2b971fb0-db0f-11ea-8b64-7e47a90ea885_bolu_abant_yayla_kebap.jpeg
34,Namlı Kebap,İZQARADA ƏT ÇEŞIDLƏRI,İzqara Toyuqlu Akdeniz Salatı,"120 q toyuq döş və ya bud əti, xüsusi sous, Akdeniz salatı","14,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/f6cf3d30-db18-11ea-872a-aa12a811c7d2_mantarl__tavuk_dolma.jpeg
35,Namlı Kebap,ŞİRNİYYAT,Sütlaç,,"5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f31066a051911465b2444dd/592c532e-db1d-11ea-8abc-1a5413f6cedf_su_tlac_..jpeg
36,Namlı Kebap,İÇKİLƏR,Ayran 1 L,,"5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5f2515443bdba4dffa19ed69/7c65fc5e-d3f3-11ea-aff2-12d2df3dbc3f_s_alqam_suyu.jpeg
37,Namlı Kebap,ÇÖRƏK,Puf Çörək,,"1,00₼",
38,Shaurma №1 Nizami Küç. ,PİZZA,Qarışıq Pizza,"Tomat sousu, holland pendiri, can əti, qıyma, toyuq ətİ, salyami, sarımsaq, pomidor, zeytun, bibər, göbələk

Pizza ilə birlikdə əlavə 1 pizza salatı və 1 pizza sousu hədiyyə olunur","14,30₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e6c262a8122b57a8e7144cc/f16f52d0-780c-11eb-9780-3ac282c295e7_qar_s__q_pizza.jpeg
39,Shaurma №1 Nizami Küç. ,XÜSUSİ MENYU,Ev Sayağı Kartof,,"3,40₼",https://wolt-menu-images-cdn.wolt.com/menu-images/6740012c-657a-11ea-9178-0a58647d1e23_0B4C4416.jpeg
40,Shaurma №1 Nizami Küç. ,AİLƏ MENYUSU,Ailə Menyusu,"Böyük toyuqlu pizza (4 dilim), 4 fri kartofu və içki seçimə görə","32,40₼",
41,Shaurma №1 Nizami Küç. ,SALATLAR,Göbələk Salatı Mayonezdə (200 qr),"Bibər, xiyar, kök, göbələk, mayonez","3,80₼",https://wolt-menu-images-cdn.wolt.com/menu-images/1be9c496-7502-11ea-aee0-0a58647f8239_mushroom_salad_with_mayo.jpeg
42,Shaurma №1 Nizami Küç. ,ŞORBALAR,Dovğa,"Qatıq, yumurta, düyü, göyərti, noxud","3,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e6c262a8122b57a8e7144cc/81a0567e-780d-11eb-b45a-2a09a67da3fe_dovga.jpeg
43,Shaurma №1 Nizami Küç. ,PİDE & LAHMACUN,Pide Shaurma N1,"Holland pendiri, pomidor, bibər, toyuq əti (basdirma), xüsusi sous","6,30₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e6c262a8122b57a8e7144cc/75e45224-7810-11eb-89b9-aa813c7ba649_shaurma_n1_pide.jpeg
44,Shaurma №1 Nizami Küç. ,DESERT,Künefe,,"7,20₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e6c262a8122b57a8e7144cc/a3aad532-780d-11eb-b29e-c6065be7945a_ku_n_f_.jpeg
45,Shaurma №1 Nizami Küç. ,SOYUQ İÇKİLƏR,Təzə Sıxılmış Meyvə Şirəsi,"Alma, portağal, nar, kök, qarışıq","5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e6c25d1b913f07ba2713cfb/203f188c-f3fd-11ea-b871-5e06330f9843_bonaqua_500_ml.jpeg
46,Shaurma №1 Nizami Küç. ,SOUSLAR,Pizza Sousu,,"1,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5ef1d7bbb91b60703df55eed/5b6351fc-c9ba-11ea-9a46-fe03e042c869_1e834668_1600_4177_9530_d45c1ce7533a.jpeg
47,Central Baku,SƏHƏR YEMƏYİ,Feseli,"Xəmir, ağ pendir, kərə yağı","5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d42aa0f563061877190bb51/936ef562-b950-11ea-980d-4a17c8fd3ffa_feseli.jpeg
48,Central Baku,ŞORBALAR,Göbələk Şorbası,"Kök, soğan, zeytun yağı, sarımsağ, göbələk, göbələk bulyonu, süd, qaymağ,tərəvəz bulyonu","5,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/526d9158-baa6-11e9-81a1-0a5864671e06_IMG_6308.jpeg
49,Central Baku,SOYUQ QƏLYANALTILAR,Bruschetta Cherry Tomatoes,"Çerri pomidor, parmezan pendiri, balzamik sousu, baget","7,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/76dfb15e-1737-11ea-bf07-0a586469e017_35.jpeg
50,Central Baku,İSTİ QƏLYANALTILAR,Chicken Crepe Roll,"Fəsəli, toyuq filesi, yaşıl paxla, göbələk, Mozarella, qarışıq göyərti, yunan qatığı","9,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d42aa0f563061877190bb51/5eb655d6-1521-11eb-80d2-426f78b77e10_crepe_roll.jpeg
51,Central Baku,SALATLAR,Tuna Salad,"Marinadlı tuna, rotelle pasta, greypfrut, mövsümi meyvələr, qızardılmış çörək tikələri, çerri pomidor, qarışıq göyərti","15,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d42aa0f563061877190bb51/73c4a22a-1521-11eb-afe7-ca57d312e22b_tuna_salad.jpeg
52,Central Baku,SENDVİÇ VƏ BURGERLƏR,Double Beef & Double Cheese Burger,"İki qat mal əti, iki qat Çeddar pendiri, xiyar turşusu, soğan, pomidor, qarışıq göyərti, burqer sousu, kartof qızartması, ayoli sousu","18,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/fbc9f0ea-174c-11ea-85b6-0a586468f239_30.jpeg
53,Central Baku,PİZZALAR,Caesar Pizza,"Toyuq filesi, mozzarella, pomidor, kahı, parmezan, Sezar sousu","15,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d42aa0f563061877190bb51/61d4692a-a3fb-11ea-8cc4-0a586477cf38_img_4400.jpeg
54,Central Baku,PASTA,Casarecce Al Ragu,"Casarecce pasta, can əti, kök, pomidor, parmezan, Neopalitan sousu","16,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/2314ca7c-1747-11ea-8587-0a586469e018_12.jpeg
55,Central Baku,MİLLİ YEMƏKLƏR,Baku Dolma,"Quzu əti, üzüm yarpağı, düyü, göyərti, qatıq","14,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/6ddf3662-baab-11e9-bec3-0a5864671e0d_IMG_5671.jpeg
56,Central Baku,ƏSAS YEMƏKLƏR,Crispy Fish with Tartar Sauce,"Forel filesi, kartof dilimləri, tartar sousu, qarışıq göyərti
","16,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5d42aa0f563061877190bb51/ad5c7b16-1521-11eb-a708-826b13fe3550_crispy_fish.jpeg
57,Central Baku,QARNİRLƏR,Singapore Style Cabbage,,"4,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/3d2f0400-1be2-11ea-bcdf-0a58646007f6_Singapore_cabbage.jpeg
58,Central Baku,DESERTLƏR,Apple Pie,"Tart xəmiri, alma, qara kişmiş","8,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/160ec318-c031-11e9-bf77-0a586467dc0f__C5A2465.jpeg
59,Central Baku,İÇKİLƏR,Sirab Premium® 750 ml,Qazsız,"4,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/ed36dc30-c8d9-11e9-b37a-0a5864600579__C5A5889.jpeg
60,SunSet Cafe,QƏLYANALTILAR,Sarımsaqlı Çörək,"Qızardılmış çörək loxması sarımsaq, kərə yağı, Qauda və Parmezan pendirlərilə Marinara sousu ilə","7,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/7c1f8044-e6cc-11ea-a866-528b1283dc0f_garlic_cheese_bread.jpeg
61,SunSet Cafe,SALATLAR,Rokfor Steyk Salatı,"Qrildə qızardılmış can əti, kahı, pomidor, xiyar, Rokfor pendiri Beyzik sousu altında","17,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/ae0ce13c-e6cc-11ea-8348-26d0e09f7d5e_rokfor_salati.jpeg
62,SunSet Cafe,BURQERLƏR VƏ SENDVİÇLƏR,Krispi Qara Burger,"200 qr ət farşı, şomu, bekon, BBQ sous, göbələk, karamelləşdilişmiş soğan, Çedar pendiri, xırçıltılı kartof ","15,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/506248f6-e6cc-11ea-9b21-0275a59c33ec_crispy_black_burger.jpeg
63,SunSet Cafe,ƏSAS YEMƏKLƏR,Toyuqlu Vista,Qrildə toyuq filesi Şefdən xüsusi sous altında,"18,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/0eb3fe6c-e6cd-11ea-b6d0-3ac20b8033c0_vista_chicken.jpg__2_.jpeg
64,SunSet Cafe,ROLLAR,Çili Dürümü,"Lavaşda acılı çili farşı, kahı, xiyar, pomidor, xama və Çeddar pendiri ilə","11,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/414bcd10-e6cc-11ea-8fa0-ca9d3ee3389d_chili_wrap.jpeg
65,SunSet Cafe,MEKSİKA MƏTBƏXİ,El Qrande Ençiladas,"Tortilya, Gouda pendir, pomidor, yaşıl soğan, lobya, Meksika düyüsü, Salsa, xama, toyuq və ya mal əti","18,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/b204f49e-5d3a-11ea-be59-0a58647b2d05_Enchelados__chicken___meat___mixed_.jpeg
66,SunSet Cafe,UŞAQ MENYUSU,Toyuq Çubuqları,"Kartof püresi, tərəvəz, qrildə toyuq çubuqları","7,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/35ca3388-5d46-11ea-bbec-0a586479fb60_Grilled_chicken_fingers.jpeg
67,SunSet Cafe,ƏLAVƏ,Göbələk,,"1,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/9cb673a0-5d4a-11ea-866c-0a58647b0f16_Sweet_chili_sauce.jpeg
68,SunSet Cafe,DESERTLƏR,Brauni,,"8,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/0bc54eb6-5d4a-11ea-98f0-0a58647b0a2c_Browni.jpeg
69,SunSet Cafe,PİVƏ,Corona Extra® 330 ml,,"8,00₼",https://wolt-menu-images-cdn.wolt.com/menu-images/5e58ee356acf73e7feb941fa/f1f17bfc-a404-11ea-8244-0a586477e109_corona_330_ml.jpeg
70,SunSet Cafe,İÇKİLƏR,Sirab ® 500 ml,,"2,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/98370758-5d5f-11ea-8809-0a58647b3705_Sirab__500ml_.jpeg
71,PakDad Nizami ,ŞORBALAR,Göbələk Şorbası,"Qaymaq, göbələk, ədviyyatlar","3,50₼",https://wolt-menu-images-cdn.wolt.com/menu-images/c1d1b730-ed97-11e9-bf3d-0a586462140b_yayla.jpeg
72,PakDad Nizami ,BAŞLANĞICLAR,Zeytun Salatı,,"3,90₼",https://wolt-menu-images-cdn.wolt.com/menu-images/2f41f5c4-651a-11ea-83c8-0a5864764717_021.ZEYTUN_SALATI-3.90AZN.jpeg
73,PakDad Nizami ,SALATLAR,Çuğundur Salatı,,"3,60₼",https://wolt-menu-images-cdn.wolt.com/menu-images/8ada1d26-6515-11ea-a915-0a58647cea21_023.BO_RU_LC__SALATI-3.90AZN.jpeg
